dt	maxErrPct	logDt	logErr
0.01	0.214274	-2	-0.6690305230392091
0.005	0.107507	-2.3010299956639813	-0.9685632570283863
0.0025	0.053847	-2.6020599913279625	-1.2688384877186287
0.001	0.021561	-3	-1.6663311004235897
