t	dE	errPct
63	-0.02065578	0.204097
63.3	-0.02137771	0.211231
63.65	-0.02204887	0.217862
63.95	-0.02265603	0.223861
64.25	-0.02302155	0.227473
64.6	-0.02394100	0.236558
64.9	-0.02424783	0.239590
65.2	-0.02508628	0.247875
65.5	-0.02513112	0.248318
65.85	-0.02621302	0.259008
66.15	-0.02696519	0.266440
66.45	-0.02766209	0.273326
66.75	-0.02842781	0.280892
67.1	-0.02969320	0.293395
67.4	-0.03090279	0.305347
67.7	-0.03188056	0.315008
68.05	-0.03130954	0.309366
68.35	-0.02969385	0.293401
68.65	-0.02316555	0.228896
68.95	-0.01586740	0.156784
69.3	-0.02725637	0.269317
69.6	-0.03358074	0.331807
69.9	-0.02605784	0.257474
70.2	-0.02047880	0.202349
70.55	-0.01787401	0.176611
70.85	-0.01817214	0.179557
71.15	-0.01937530	0.191445
71.45	-0.02034558	0.201032
71.8	-0.02136458	0.211101
72.1	-0.02242761	0.221605
72.4	-0.02305602	0.227814
72.75	-0.02439057	0.241000
73.05	-0.02486974	0.245735
73.35	-0.02525239	0.249516
73.65	-0.02610981	0.257988
74	-0.02655935	0.262430
74.3	-0.02721022	0.268861
74.6	-0.02742467	0.270980
74.9	-0.02819495	0.278591
75.25	-0.02885922	0.285155
75.55	-0.02963084	0.292779
75.85	-0.03022909	0.298690
76.2	-0.03069383	0.303282
76.5	-0.03142936	0.310550
76.8	-0.03250492	0.321177
77.1	-0.03398046	0.335757
77.45	-0.03466062	0.342477
77.75	-0.03504883	0.346313
78.05	-0.03497549	0.345589
78.35	-0.03117397	0.308026
78.7	-0.02208564	0.218226
79	-0.02133859	0.210844
79.3	-0.03556609	0.351424
79.6	-0.03499973	0.345828
79.95	-0.02552632	0.252222
80.25	-0.02236369	0.220973
80.55	-0.02188064	0.216200
80.9	-0.02263511	0.223655
81.2	-0.02373377	0.234511
81.5	-0.02458025	0.242875
81.8	-0.02547647	0.251730
82.15	-0.02665201	0.263345
82.45	-0.02729038	0.269653
82.75	-0.02769814	0.273682
83.05	-0.02838308	0.280450
83.4	-0.02937954	0.290296
83.7	-0.02985486	0.294992
84	-0.03037909	0.300172
84.35	-0.03094192	0.305733
84.65	-0.03162462	0.312479
84.95	-0.03154452	0.311688
85.25	-0.03246895	0.320822
85.6	-0.03272448	0.323347
85.9	-0.03410662	0.337003
86.2	-0.03498984	0.345730
86.5	-0.03538214	0.349607
86.85	-0.03699724	0.365565
87.15	-0.03736449	0.369194
87.45	-0.03889280	0.384295
87.75	-0.03895775	0.384937
88.1	-0.03672216	0.362847
88.4	-0.03112775	0.307570
88.7	-0.02329119	0.230137
89.05	-0.03320868	0.328131
89.35	-0.04126985	0.407782
89.65	-0.03358696	0.331869
89.95	-0.02767919	0.273495
90.3	-0.02501511	0.247171
90.6	-0.02580154	0.254942
90.9	-0.02699661	0.266750
91.2	-0.02723599	0.269116
91.55	-0.02800610	0.276725
91.85	-0.02940262	0.290524
92.15	-0.03078442	0.304177
92.5	-0.03129717	0.309244
92.8	-0.03160191	0.312255
93.1	-0.03239065	0.320048
93.4	-0.03288054	0.324889
93.75	-0.03362462	0.332241
94.05	-0.03398687	0.335820
94.35	-0.03427007	0.338618
94.65	-0.03532839	0.349076
95	-0.03569121	0.352661
95.3	-0.03628457	0.358524
95.6	-0.03728930	0.368451
95.9	-0.03806892	0.376154
96.25	-0.03913460	0.386684
96.55	-0.03990221	0.394269
96.85	-0.04069315	0.402084
97.2	-0.04144518	0.409515
97.5	-0.04226543	0.417620
97.8	-0.04212896	0.416271
98.1	-0.03842831	0.379706
98.45	-0.03002621	0.296685
98.75	-0.02791304	0.275805
99.05	-0.04208111	0.415798
99.35	-0.04242677	0.419214
99.7	-0.03329867	0.329020
100	-0.02946600	0.291150
