x	y
-0.6435	0.2261
-0.7618	-0.1802
-0.735	-0.6183
-0.6283	-0.9301
-0.4777	-1.1789
-0.3014	-1.3658
-0.0792	-1.5084
0.1152	-1.5677
0.3056	-1.5705
0.4854	-1.5185
0.6732	-1.3902
0.8075	-1.2244
0.909	-1.0091
0.973	-0.6989
0.9654	-0.388
0.8777	-0.0463
0.6777	0.2976
0.2727	0.6063
-0.1605	0.6914
-0.5622	0.6161
-0.8854	0.4484
-1.1616	0.2005
-1.3206	-0.0275
