t	dE	errPct
63.65	-0.00110662	0.061574
63.95	-0.00109369	0.060854
64.25	-0.00063908	0.035559
64.6	0.00021541	0.011986
64.9	0.00088120	0.049031
65.2	-0.00024863	0.013834
65.5	-0.00186756	0.103914
65.85	-0.00129321	0.071956
66.15	-0.00046916	0.026105
66.45	-0.00006110	0.003400
66.75	0.00010125	0.005633
67.1	0.00000806	0.000449
67.4	-0.00012717	0.007076
67.7	-0.00030548	0.016997
68.05	-0.00056533	0.031456
68.35	-0.00077350	0.043039
68.65	-0.00096749	0.053832
68.95	-0.00110967	0.061743
69.3	-0.00108550	0.060399
69.6	-0.00094435	0.052545
69.9	-0.00049999	0.027820
70.2	0.00040455	0.022510
70.55	0.00071308	0.039677
70.85	-0.00110894	0.061703
71.15	-0.00182871	0.101752
71.45	-0.00111323	0.061942
71.8	-0.00021494	0.011959
72.1	0.00006332	0.003523
72.4	0.00007387	0.004110
72.75	-0.00004364	0.002428
73.05	-0.00018750	0.010433
73.35	-0.00036412	0.020260
73.65	-0.00058088	0.032321
74	-0.00086482	0.048120
74.3	-0.00102990	0.057305
74.6	-0.00115187	0.064092
74.9	-0.00107463	0.059794
75.25	-0.00087830	0.048870
75.55	-0.00015831	0.008808
75.85	0.00080401	0.044736
76.2	0.00029662	0.016504
76.5	-0.00171032	0.095165
76.8	-0.00159306	0.088640
77.1	-0.00074850	0.041648
77.45	-0.00007039	0.003917
77.75	0.00006485	0.003608
78.05	0.00008710	0.004846
78.35	-0.00006456	0.003592
78.7	-0.00027266	0.015171
79	-0.00045203	0.025151
79.3	-0.00071838	0.039972
79.6	-0.00091924	0.051148
79.95	-0.00105499	0.058701
80.25	-0.00115796	0.064430
80.55	-0.00110054	0.061236
80.9	-0.00061905	0.034445
81.2	0.00017994	0.010012
81.5	0.00091141	0.050712
81.8	-0.00018504	0.010296
82.15	-0.00186514	0.103779
82.45	-0.00135426	0.075353
82.75	-0.00048048	0.026735
83.05	-0.00003066	0.001706
83.4	0.00011356	0.006319
83.7	-0.00000119	0.000066
84	-0.00011220	0.006243
84.35	-0.00030963	0.017228
84.65	-0.00055793	0.031044
84.95	-0.00073624	0.040966
85.25	-0.00094822	0.052761
85.6	-0.00116301	0.064712
85.9	-0.00120328	0.066952
86.2	-0.00097969	0.054511
86.5	-0.00049470	0.027526
86.85	0.00049881	0.027754
87.15	0.00077870	0.043328
87.45	-0.00103175	0.057408
87.75	-0.00183825	0.102283
88.1	-0.00097345	0.054164
88.4	-0.00032707	0.018199
88.7	0.00008489	0.004723
89.05	0.00008650	0.004813
89.35	-0.00001087	0.000605
89.65	-0.00017268	0.009608
89.95	-0.00038964	0.021680
90.3	-0.00061130	0.034014
90.6	-0.00082561	0.045938
90.9	-0.00101794	0.056640
91.2	-0.00113621	0.063221
91.55	-0.00115445	0.064235
91.85	-0.00090323	0.050257
92.15	-0.00022606	0.012578
92.5	0.00074991	0.041726
92.8	0.00034427	0.019156
93.1	-0.00164602	0.091587
93.4	-0.00179041	0.099621
93.75	-0.00066269	0.036873
94.05	-0.00016957	0.009435
94.35	0.00007115	0.003959
94.65	0.00008970	0.004991
95	-0.00010150	0.005647
95.3	-0.00022345	0.012433
95.6	-0.00045026	0.025053
95.9	-0.00063071	0.035093
96.25	-0.00094070	0.052342
96.55	-0.00106230	0.059108
96.85	-0.00116411	0.064773
97.2	-0.00103943	0.057835
97.5	-0.00069031	0.038410
97.8	0.00008483	0.004720
98.1	0.00087332	0.048593
98.45	-0.00041944	0.023338
98.75	-0.00184923	0.102894
99.05	-0.00139597	0.077674
99.35	-0.00054761	0.030470
99.7	-0.00002606	0.001450
100	0.00008209	0.004568
