r	vr
2.3296	-0.4549
2.1575	-0.5284
1.9891	-0.5934
1.8017	-0.653
1.5996	-0.6853
1.3684	-0.6028
1.2281	-0.2904
1.2174	0.2164
1.3436	0.5728
1.571	0.6855
1.7744	0.6613
