x	y
-2.3029	-1.6671
-1.9916	-2.0889
-1.6069	-2.4338
-1.0872	-2.7271
-0.6001	-2.8771
-0.0924	-2.9283
0.4185	-2.8778
0.9942	-2.6888
1.4479	-2.4165
1.8429	-2.0466
2.1561	-1.5864
2.3848	-0.9523
2.4325	-0.3485
2.313	0.278
1.926	0.9724
1.3613	1.4502
0.5927	1.7014
-0.2955	1.5721
-1.1438	0.7512
-1.1642	-0.391
-0.2678	-1.1875
0.8724	-1.0219
1.5702	-0.0524
1.5544	0.8557
