dt	maxErrPct	logDt	logErr
0.01	0.868248	-2	-0.061356208408751105
0.005	0.440049	-2.3010299956639813	-0.3564989615938848
0.0025	0.221535	-2.6020599913279625	-0.6545576504519006
0.001	0.08898	-3	-1.0507075985879744
